relative_path,filename,extension,file_type,risk_classification,recommended_exclusion,size_bytes
administrator/components/com_speasyimagegallery/sql/updates/2.0.1.sql,2.0.1.sql,sql,database_dump,database_dump,exclude,1271
administrator/components/com_speasyimagegallery/sql/updates/2.0.4.sql,2.0.4.sql,sql,database_dump,database_dump,exclude,9
administrator/components/com_speasyimagegallery/sql/updates/2.0.2.sql,2.0.2.sql,sql,database_dump,database_dump,exclude,9
administrator/components/com_speasyimagegallery/sql/updates/2.0.0.sql,2.0.0.sql,sql,database_dump,database_dump,exclude,1572
administrator/components/com_speasyimagegallery/sql/updates/2.0.3.sql,2.0.3.sql,sql,database_dump,database_dump,exclude,2298
administrator/components/com_speasyimagegallery/sql/updates/2.1.0.sql,2.1.0.sql,sql,database_dump,database_dump,exclude,9
administrator/components/com_akeebabackup/sql/uninstall.mysql.utf8.sql,uninstall.mysql.utf8.sql,sql,database_dump,database_dump,exclude,314
administrator/components/com_akeebabackup/sql/install.mysql.utf8.sql,install.mysql.utf8.sql,sql,database_dump,database_dump,exclude,3004
administrator/components/com_akeebabackup/sql/updates/mysql/9.0.0-20210321-1958.sql,9.0.0-20210321-1958.sql,sql,database_dump,database_dump,exclude,185
administrator/components/com_akeebabackup/sql/updates/mysql/9.4.0-20221011.sql,9.4.0-20221011.sql,sql,database_dump,database_dump,exclude,250
administrator/components/com_akeebabackup/sql/updates/mysql/9.0.10-20211130.sql,9.0.10-20211130.sql,sql,database_dump,database_dump,exclude,560
administrator/components/com_akeebabackup/sql/updates/mysql/9.0.9-20211117-2054.sql,9.0.9-20211117-2054.sql,sql,database_dump,database_dump,exclude,394
administrator/components/com_akeebabackup/src/Helper/SecretWord.php,SecretWord.php,php,secret_pattern,secret_pattern,exclude,3490
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue66.sql,issue66.sql,sql,database_dump,database_dump,exclude,44
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue86.sql,issue86.sql,sql,database_dump,database_dump,exclude,34
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue_git10.sql,issue_git10.sql,sql,database_dump,database_dump,exclude,110
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/function.sql,function.sql,sql,database_dump,database_dump,exclude,35
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33c.sql,issue33c.sql,sql,database_dump,database_dump,exclude,100
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/asc.sql,asc.sql,sql,database_dump,database_dump,exclude,109
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue_git185.sql,issue_git185.sql,sql,database_dump,database_dump,exclude,125
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62i.sql,issue62i.sql,sql,database_dump,database_dump,exclude,49
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue78a.sql,issue78a.sql,sql,database_dump,database_dump,exclude,27
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue63c.sql,issue63c.sql,sql,database_dump,database_dump,exclude,27
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue121.sql,issue121.sql,sql,database_dump,database_dump,exclude,42
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62e.sql,issue62e.sql,sql,database_dump,database_dump,exclude,40
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33a.sql,issue33a.sql,sql,database_dump,database_dump,exclude,30
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue130.sql,issue130.sql,sql,database_dump,database_dump,exclude,37
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/union2.sql,union2.sql,sql,database_dump,database_dump,exclude,57
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/join.sql,join.sql,sql,database_dump,database_dump,exclude,246
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue104.sql,issue104.sql,sql,database_dump,database_dump,exclude,212
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33e.sql,issue33e.sql,sql,database_dump,database_dump,exclude,82
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue78b.sql,issue78b.sql,sql,database_dump,database_dump,exclude,26
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33f.sql,issue33f.sql,sql,database_dump,database_dump,exclude,232
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/orderbyposition.sql,orderbyposition.sql,sql,database_dump,database_dump,exclude,35
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue89.sql,issue89.sql,sql,database_dump,database_dump,exclude,477
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue124.sql,issue124.sql,sql,database_dump,database_dump,exclude,67
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/inlist.sql,inlist.sql,sql,database_dump,database_dump,exclude,329
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/alter.sql,alter.sql,sql,database_dump,database_dump,exclude,66
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/insubtree.sql,insubtree.sql,sql,database_dump,database_dump,exclude,53
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue57.sql,issue57.sql,sql,database_dump,database_dump,exclude,381
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue63a.sql,issue63a.sql,sql,database_dump,database_dump,exclude,35
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue131.sql,issue131.sql,sql,database_dump,database_dump,exclude,114
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/union1.sql,union1.sql,sql,database_dump,database_dump,exclude,56
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue92.sql,issue92.sql,sql,database_dump,database_dump,exclude,47
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue76a.sql,issue76a.sql,sql,database_dump,database_dump,exclude,30
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/left.sql,left.sql,sql,database_dump,database_dump,exclude,90
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33l.sql,issue33l.sql,sql,database_dump,database_dump,exclude,91
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue79a.sql,issue79a.sql,sql,database_dump,database_dump,exclude,46
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33k.sql,issue33k.sql,sql,database_dump,database_dump,exclude,123
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue102.sql,issue102.sql,sql,database_dump,database_dump,exclude,38
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue110.sql,issue110.sql,sql,database_dump,database_dump,exclude,24
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue101.sql,issue101.sql,sql,database_dump,database_dump,exclude,66
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue83.sql,issue83.sql,sql,database_dump,database_dump,exclude,0
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/distinct.sql,distinct.sql,sql,database_dump,database_dump,exclude,35
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33j.sql,issue33j.sql,sql,database_dump,database_dump,exclude,121
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/tableexpr.sql,tableexpr.sql,sql,database_dump,database_dump,exclude,88
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue100.sql,issue100.sql,sql,database_dump,database_dump,exclude,27
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62a.sql,issue62a.sql,sql,database_dump,database_dump,exclude,35
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue33g.sql,issue33g.sql,sql,database_dump,database_dump,exclude,123
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62q.sql,issue62q.sql,sql,database_dump,database_dump,exclude,32
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62p.sql,issue62p.sql,sql,database_dump,database_dump,exclude,20
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue78c.sql,issue78c.sql,sql,database_dump,database_dump,exclude,27
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue81.sql,issue81.sql,sql,database_dump,database_dump,exclude,12
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62k.sql,issue62k.sql,sql,database_dump,database_dump,exclude,75
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue62c.sql,issue62c.sql,sql,database_dump,database_dump,exclude,27
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue123.sql,issue123.sql,sql,database_dump,database_dump,exclude,52
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue87.sql,issue87.sql,sql,database_dump,database_dump,exclude,55
administrator/components/com_akeebabackup/vendor/greenlion/php-sql-parser/tests/expected/creator/issue83c.sql,issue83c.sql,sql,database_dump,database_dump,exclude,66
